molecule_chembl_id,canonical_smiles,pIC50,n_measurements
CHEMBL2322143,c1cc2c(ncc3ccc(C4CCCCC4)n32)[nH]1,5.318758762624412,1
CHEMBL2386635,C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CC#N)CC1,9.698970004336019,2
CHEMBL261386,O=c1[nH]ccc2c3[nH]c(-c4ccccc4Cl)nc3c3ccc(F)cc3c12,8.154901959985743,1
CHEMBL3039513,CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F,5.823908740944319,4
CHEMBL3114761,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(O[C@H]2CCN(c3ccnc(F)c3)C2)c1,5.23455498190985,1
CHEMBL3114768,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccc(OCCn2ccnc2)cc1,5.132650382811208,1
CHEMBL3114772,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccc(OCCNc2ccnc(F)c2)cc1,5.006828394969235,1
CHEMBL3114775,Cn1cc(C2=C(Nc3cccc(OCCNc4ccnc(F)c4)c3)C(=O)NC2=O)c2ccccc21,5.292089334286894,1
CHEMBL3114776,CN(CCOc1cccc(NC2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c1)c1ccnc(F)c1,6.002176919254275,1
CHEMBL3114786,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CCN(c3ccnc(F)c3)C2)c1,4.923468780746188,1
CHEMBL3137308,NC(=O)c1cnc2[nH]ccc2c1N[C@@H]1[C@@H]2CC3C[C@H]1C[C@@](O)(C3)C2,8.318758762624412,5
CHEMBL3137331,CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)S(C)(=O)=O)n2)cc1,6.889376624766669,1
CHEMBL3216659,Cl.Cl.O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2/C1=N\OCCN1CCNCC1,7.301029995663981,1
CHEMBL3301606,CC1(C)CN(C(=O)c2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)C1,6.65368668352426,2
CHEMBL3301607,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,6.935542010773082,22
CHEMBL3352892,C[C@@]1(C#N)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,7.522878745280337,1
CHEMBL3359907,C[C@@H](Nc1c(C(N)=O)cnn2cccc12)C(C)(C)C,7.795880017344075,1
CHEMBL3359908,CC1(C)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,8.096910013008056,1
CHEMBL3359909,C[C@H](Nc1c(C(N)=O)cnn2cccc12)C(C)(C)C,6.167491087293763,1
CHEMBL3359910,CC1(C)CCC[C@@H]1Nc1c(C(N)=O)cnn2cccc12,6.886056647693163,1
CHEMBL3359911,NC(=O)c1cnn2cccc2c1NC1CCCC1,6.823908740944319,1
CHEMBL3359912,CC1(C)[C@@H](O)CC[C@H]1Nc1c(C(N)=O)cnn2cccc12,7.102372908709558,1
CHEMBL3359913,CC1(C)[C@H](O)CC[C@H]1Nc1c(C(N)=O)cnn2cccc12,7.657577319177793,1
CHEMBL3359914,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cccc23)CC[C@]1(C)O,6.6777807052660805,1
CHEMBL3359915,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cccc23)CC[C@@]1(C)O,8.154901959985743,1
CHEMBL3359916,CC1(C)C[C@@](C)(O)C[C@H]1Nc1c(C(N)=O)cnn2cccc12,6.552841968657781,1
CHEMBL3359917,CC1(C)C[C@](C)(O)C[C@H]1Nc1c(C(N)=O)cnn2cccc12,7.045757490560675,1
CHEMBL3359918,CC1(C)[C@H](N)CC[C@H]1Nc1c(C(N)=O)cnn2cccc12,6.958607314841775,1
CHEMBL3359919,CC1(C)[C@@H](N)CC[C@H]1Nc1c(C(N)=O)cnn2cccc12,6.958607314841775,1
CHEMBL3359920,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cccc23)CC[C@@]1(C)N,7.2839966563652006,1
CHEMBL3359921,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cccc23)CC[C@]1(C)N,7.013228265733755,1
CHEMBL3359922,C[C@]1(O)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,6.823908740944319,1
CHEMBL3359923,C[C@@]1(O)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,6.721246399047171,1
CHEMBL3359924,C[C@]1(CO)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,7.468521082957745,1
CHEMBL3359925,C[C@@]1(CO)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,6.4089353929735005,1
CHEMBL3359926,C[C@]1(C#N)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,8.221848749616356,1
CHEMBL3359927,C[C@]1(F)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,8.698970004336019,1
CHEMBL3359928,C[C@@]1(F)CCC[C@@H]1Nc1c(C(N)=O)cnn2cccc12,6.3979400086720375,1
CHEMBL3359929,C[C@@]1(F)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,6.958607314841775,1
CHEMBL3360318,COc1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1,6.284832642151542,1
CHEMBL3360348,O=C(Nc1nc2cccc(-c3ccc(NS(=O)(=O)C4CC4)cc3)n2n1)C1CC1,6.522878745280337,1
CHEMBL3360353,O=C(Nc1nc2cccc(-c3ccc(CN4CCOCC4)cc3)n2n1)C1CC1,5.6786087216883105,2
CHEMBL3360356,O=C(Nc1nc2cccc(-c3ccc(CN4CCC(F)(F)CC4)cc3)n2n1)C1CC1,6.899974406886593,2
CHEMBL3403537,Cc1ccc(Cl)cc1-c1cn(-c2ncnc3[nH]ccc23)cc1C(N)=O,7.366531544420414,1
CHEMBL3403541,Cc1ccc(Cl)cc1-n1cc(-c2ncnc3[nH]ccc23)cc1C(N)=O,8.698970004336019,1
CHEMBL3403542,Cc1ccc(Cl)cc1-n1cc(-c2ncnn3cccc23)cc1C(N)=O,6.910094888560602,1
CHEMBL3403546,CCc1ccc(Cl)cc1-n1cc(-c2ncnn3cccc23)cc1C(N)=O,7.568636235841013,1
CHEMBL3403549,NC(=O)c1cc(-c2ncnc3[nH]ccc23)cn1-c1cc(C(F)(F)F)ccc1Cl,8.522878745280337,1
CHEMBL3426891,CN1CCN(c2ccc(Nc3ncc(Cl)c(NC[C@H]4CCCO4)n3)cc2)CC1,8.301029995663981,1
